library	n_samples	superpool	index_pair
1A	12	DEEP	1
1B	12	DEEP	2
1C	12	DEEP	3
1D	12	DEEP	4
1E	12	DEEP	5
1F	12	DEEP	6
1G	12	SHALLOW_A	7
1H	12	SHALLOW_A	8
2A	12	SHALLOW_A	9
2B	12	SHALLOW_A	10
2C	12	SHALLOW_A	11
2D	12	SHALLOW_A	12
2E	12	SHALLOW_A	13
2F	12	SHALLOW_A	14
2G	12	SHALLOW_A	15
2H	12	SHALLOW_A	16
3A	12	SHALLOW_A	1
3B	12	SHALLOW_B	2
3C	12	SHALLOW_B	3
3D	12	SHALLOW_B	4
3E	12	SHALLOW_B	5
3F	12	SHALLOW_B	6
3G	12	SHALLOW_B	7
3H	12	SHALLOW_B	8
4A	12	SHALLOW_B	9
4B	12	SHALLOW_B	10
4C	12	SHALLOW_B	11
4D	12	SHALLOW_B	12
4E	12	SHALLOW_B	13
4F	12	SHALLOW_B	14
4G	12	SHALLOW_B	15
4H	12	SHALLOW_B	16
